language_name,language_code,country
Sara Kaba Naa,kwv,Chad
Sarua,swy,Chad
Sinyar,sys,Chad
Sokoro,sok,Chad
Soumraye,sor,Chad
Surbakhal,sbj,Chad
Tama,tma,Chad
Tamki,tax,Chad
Tedaga,tuq,Chad
Tobanga,tng,Chad
Toram,trj,Chad
Tumak,tmc,Chad
Tunia,tug,Chad
Tupuri,tui,Chad
Ubi,ubi,Chad
Yerwa Kanuri,knc,Chad
Zaghawa,zag,Chad
Zan Gula,zna,Chad
Zerenkel,zrn,Chad
Mwali Comorian,wlc,Comoros
Ndzwani Comorian,wni,Comoros
Ngazidja Comorian,zdj,Comoros
Aka,axk,Congo
Akwa,akw,Congo
Beembe,beq,Congo
Bekwel,bkw,Congo
Bobangi,bni,Congo
Bomitaba,zmx,Congo
Bomwali,bmw,Congo
Bongili,bui,Congo
Bonjo,bok,Congo
Bwisi,bwz,Congo
Dibole,bvx,Congo
Doondo,dde,Congo
Kaamba,xku,Congo
Kituba,mkw,Congo
Koongo,kng,Congo
Kota,koq,Congo
Koyo,koh,Congo
Kunyi,njx,Congo
Laari,ldi,Congo
Likuba,kxx,Congo
Likwala,kwc,Congo
Lingala,lin,Congo
Lumbu,lup,Congo
Mbandja,zmz,Congo
Mbangwe,zmn,Congo
Mbere,mdt,Congo
Mboko,mdu,Congo
Mbosi,mdw,Congo
Moi,mow,Congo
Monzombo,moj,Congo
Mpyemo,mcx,Congo
Ndasa,nda,Congo
Ngbaka,nga,Congo
Ngom,nra,Congo
Ngundi,ndn,Congo
Ngungwel,ngz,Congo
Njebi,nzb,Congo
Njyem,njy,Congo
Ombamba,mbm,Congo
Punu,puu,Congo
Suundi,sdj,Congo
Teke-Eboo,ebo,Congo
Teke-Ibali,tek,Congo
Teke-Kukuya,kkw,Congo
Teke-Laali,lli,Congo
Teke-Nzikou,nzu,Congo
Teke-Tege,teg,Congo
Teke-Tsaayi,tyi,Congo
Teke-Tyee,tyx,Congo
Teke-Wuumu,ifm,Congo
Tsaangi,tsa,Congo
Vili,vif,Congo
Wumbvu,wum,Congo
Yaka,iyx,Congo
Yombe,yom,Congo
Abidji,abi,Cote d'Ivoire
Abron,abr,Cote d'Ivoire
Abure,abu,Cote d'Ivoire
